run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
6,25,0,0,DELIVERY,0,0,0
6,37,32,32,ORDER_STATUS,0,0,0
6,54,51,51,PAYMENT,0,0,0
6,68,39,39,PAYMENT,0,0,0
6,98,60,60,PAYMENT,0,0,0
6,100,0,0,DELIVERY,0,0,0
6,104,50,50,PAYMENT,0,0,0
6,115,46,46,ORDER_STATUS,0,0,0
6,129,78,78,PAYMENT,0,0,0
6,164,66,66,PAYMENT,0,0,0
6,165,141,141,NEW_ORDER,0,0,0
6,170,75,75,PAYMENT,0,0,0
6,169,77,77,PAYMENT,0,0,0
6,197,0,0,DELIVERY,0,0,0
6,167,160,160,NEW_ORDER,0,0,0
6,167,158,158,NEW_ORDER,0,0,0
6,166,162,162,NEW_ORDER,0,0,0
6,201,0,0,DELIVERY,0,0,0
6,314,127,127,STOCK_LEVEL,0,0,0
6,265,172,172,PAYMENT,0,0,0
6,352,155,155,ORDER_STATUS,0,0,0
6,367,176,176,PAYMENT,0,0,0
6,368,263,263,PAYMENT,0,0,0
6,376,272,272,NEW_ORDER,0,0,0
6,376,184,184,PAYMENT,0,0,0
6,377,177,177,PAYMENT,0,0,0
6,396,231,231,PAYMENT,0,0,0
6,396,0,0,DELIVERY,0,0,0
6,402,197,197,PAYMENT,0,0,0
6,441,147,147,ORDER_STATUS,0,0,0
6,451,286,286,NEW_ORDER,0,0,0
6,455,265,265,PAYMENT,0,0,0
6,463,272,272,PAYMENT,0,0,0
6,464,278,278,PAYMENT,0,0,0
6,464,0,0,DELIVERY,0,0,0
6,480,166,166,PAYMENT,0,0,0
6,493,291,291,PAYMENT,0,0,0
6,496,201,201,PAYMENT,0,0,0
6,499,208,208,PAYMENT,0,0,0
6,499,131,131,PAYMENT,0,0,0
6,501,329,329,PAYMENT,0,0,0
6,502,408,408,NEW_ORDER,0,0,0
6,503,307,307,PAYMENT,0,0,0
6,510,321,321,PAYMENT,0,0,0
6,512,136,136,PAYMENT,0,0,0
6,528,236,236,PAYMENT,0,0,0
6,539,442,442,NEW_ORDER,0,0,0
6,553,222,222,PAYMENT,0,0,0
6,566,190,190,PAYMENT,0,0,0
6,567,215,215,PAYMENT,0,0,0
6,582,409,409,NEW_ORDER,0,0,0
6,624,438,438,NEW_ORDER,0,0,0
6,632,169,169,PAYMENT,0,0,0
6,632,177,177,PAYMENT,0,0,0
6,657,542,542,NEW_ORDER,0,0,0
6,657,528,528,NEW_ORDER,0,0,0
6,659,163,163,PAYMENT,0,0,0
6,677,486,486,PAYMENT,0,0,0
6,677,226,226,PAYMENT,0,0,0
6,678,178,178,PAYMENT,0,0,0
6,685,132,132,PAYMENT,0,0,0
6,703,201,201,PAYMENT,0,0,0
6,704,327,327,NEW_ORDER,0,0,0
6,725,453,453,NEW_ORDER,0,0,0
6,725,552,552,NEW_ORDER,0,0,0
6,736,541,541,NEW_ORDER,0,0,0
6,740,448,448,NEW_ORDER,0,0,0
6,744,540,540,NEW_ORDER,0,0,0
6,747,345,345,PAYMENT,0,0,0
6,770,203,203,STOCK_LEVEL,0,0,0
6,826,555,555,NEW_ORDER,0,0,0
6,826,630,630,NEW_ORDER,0,0,0
6,827,621,621,NEW_ORDER,0,0,0
6,828,327,327,NEW_ORDER,0,0,0
6,828,289,289,NEW_ORDER,0,0,0
6,829,633,633,NEW_ORDER,0,0,0
6,831,127,127,PAYMENT,0,0,0
6,837,637,637,NEW_ORDER,0,0,0
6,851,551,551,NEW_ORDER,0,0,0
6,859,202,202,PAYMENT,0,0,0
6,871,246,246,PAYMENT,0,0,0
6,872,596,596,NEW_ORDER,0,0,0
6,872,0,0,DELIVERY,0,0,0
6,876,580,580,NEW_ORDER,0,0,0
6,876,294,294,NEW_ORDER,0,0,0
6,884,136,136,PAYMENT,0,0,0
6,889,211,211,PAYMENT,0,0,0
6,889,377,377,NEW_ORDER,0,0,0
6,896,68,68,STOCK_LEVEL,0,0,0
6,911,721,721,NEW_ORDER,0,0,0
6,912,172,172,PAYMENT,0,0,0
6,912,413,413,NEW_ORDER,0,0,0
6,912,168,168,PAYMENT,0,0,0
6,913,420,420,NEW_ORDER,0,0,0
6,921,628,628,NEW_ORDER,0,0,0
6,922,441,441,NEW_ORDER,0,0,0
6,949,420,420,NEW_ORDER,0,0,0
6,1059,1034,1034,DELIVERY_BG,0,0,0
6,1249,479,479,PAYMENT,0,0,0
6,1258,345,345,PAYMENT,0,0,0
6,1292,851,851,NEW_ORDER,0,0,0
6,1303,578,578,NEW_ORDER,0,0,0
6,1307,15,15,PAYMENT,0,0,0
6,1339,427,427,PAYMENT,0,0,0
6,1359,682,682,NEW_ORDER,0,0,0
6,1372,1079,1079,NEW_ORDER,0,0,0
6,1391,880,880,NEW_ORDER,0,0,0
6,1404,679,679,PAYMENT,0,0,0
6,1418,852,852,NEW_ORDER,0,0,0
6,1435,607,607,NEW_ORDER,0,0,0
6,1437,934,934,NEW_ORDER,0,0,0
6,1443,530,530,PAYMENT,0,0,0
6,1498,671,671,PAYMENT,0,0,0
6,1500,823,823,PAYMENT,0,0,0
6,1528,607,607,ORDER_STATUS,0,0,0
6,1536,1169,1169,NEW_ORDER,0,0,0
6,1536,876,876,NEW_ORDER,0,0,0
6,1544,858,858,NEW_ORDER,0,0,0
6,1546,187,187,PAYMENT,0,0,0
6,1547,721,721,NEW_ORDER,0,0,0
6,1549,677,677,NEW_ORDER,0,0,0
6,1549,637,637,PAYMENT,0,0,0
6,1580,43,43,ORDER_STATUS,0,0,0
6,1583,661,661,NEW_ORDER,0,0,0
6,1601,166,166,ORDER_STATUS,0,0,0
6,1628,324,324,PAYMENT,0,0,0
6,1639,750,750,NEW_ORDER,0,0,0
6,1640,743,743,NEW_ORDER,0,0,0
6,1669,818,818,ORDER_STATUS,0,0,0
6,1697,161,161,PAYMENT,0,0,0
6,1698,786,786,PAYMENT,0,0,0
6,1715,342,342,PAYMENT,0,0,0
6,1746,1089,1089,NEW_ORDER,0,0,0
6,1746,908,908,NEW_ORDER,0,0,0
6,1805,1607,1607,NEW_ORDER,0,0,0
6,1806,256,256,NEW_ORDER,0,0,0
6,1806,306,306,PAYMENT,0,0,0
6,1807,1104,1104,NEW_ORDER,0,0,0
6,1807,548,548,PAYMENT,0,0,0
6,1811,1075,1075,PAYMENT,0,0,0
6,1817,757,757,PAYMENT,0,0,0
6,1818,987,987,NEW_ORDER,0,0,0
6,1818,959,959,NEW_ORDER,0,0,0
6,1819,870,870,PAYMENT,0,0,0
6,1820,273,273,NEW_ORDER,0,0,0
6,1820,240,240,NEW_ORDER,0,0,0
6,1831,281,281,ORDER_STATUS,0,0,0
6,1845,1745,1745,DELIVERY_BG,0,0,0
6,1855,1658,1657,DELIVERY_BG,0,0,0
6,1856,141,141,ORDER_STATUS,0,0,0
6,1857,550,550,PAYMENT,0,0,0
6,1880,240,240,PAYMENT,0,0,0
6,1882,438,438,PAYMENT,0,0,0
6,1891,290,290,NEW_ORDER,0,0,0
6,1904,359,359,PAYMENT,0,0,0
6,1905,87,87,PAYMENT,0,0,0
6,1906,1705,1705,DELIVERY_BG,0,0,0
6,1908,101,101,PAYMENT,0,0,0
6,1912,520,520,NEW_ORDER,0,0,0
6,1915,109,109,PAYMENT,0,0,0
6,1917,1040,1040,PAYMENT,0,0,0
6,1927,1098,1098,NEW_ORDER,0,0,0
6,1933,1056,1056,NEW_ORDER,0,0,0
6,1937,298,298,PAYMENT,0,0,0
6,1939,411,411,NEW_ORDER,0,0,0
6,1943,1311,1311,NEW_ORDER,0,0,0
6,1943,0,0,DELIVERY,0,0,0
6,1956,145,145,PAYMENT,0,0,0
6,1958,1129,1129,PAYMENT,0,0,0
6,1958,0,0,DELIVERY,0,0,0
6,1966,467,467,PAYMENT,0,0,0
6,1968,422,422,NEW_ORDER,0,0,0
6,1991,173,173,PAYMENT,0,0,0
6,2006,69,69,PAYMENT,0,0,0
6,2008,310,310,NEW_ORDER,0,0,0
6,2001,597,597,NEW_ORDER,0,0,0
6,1983,399,399,NEW_ORDER,0,0,0
6,2019,1387,1387,NEW_ORDER,0,0,0
6,2033,152,152,PAYMENT,0,0,0
6,2039,293,293,NEW_ORDER,0,0,0
6,2052,169,169,PAYMENT,0,0,0
6,2057,166,166,PAYMENT,0,0,0
6,2079,222,222,STOCK_LEVEL,0,0,0
6,2079,224,224,STOCK_LEVEL,0,0,0
6,2080,662,662,NEW_ORDER,0,0,0
6,2080,0,0,DELIVERY,0,0,0
6,2081,335,335,NEW_ORDER,0,0,0
6,2081,175,175,PAYMENT,0,0,0
6,2081,261,261,NEW_ORDER,0,0,0
6,2081,225,225,NEW_ORDER,0,0,0
6,2089,389,389,NEW_ORDER,0,0,0
6,2089,284,284,NEW_ORDER,0,0,0
6,2090,172,172,PAYMENT,0,0,0
6,2121,206,206,PAYMENT,0,0,0
6,2136,318,318,NEW_ORDER,0,0,0
6,2148,340,340,NEW_ORDER,0,0,0
6,2159,107,107,PAYMENT,0,0,0
6,2160,821,821,NEW_ORDER,0,0,0
6,2161,154,154,ORDER_STATUS,0,0,0
6,2167,259,259,PAYMENT,0,0,0
6,2168,262,262,NEW_ORDER,0,0,0
6,2178,207,207,PAYMENT,0,0,0
6,2196,115,115,PAYMENT,0,0,0
6,2197,157,157,PAYMENT,0,0,0
6,2197,115,115,PAYMENT,0,0,0
6,2198,529,529,NEW_ORDER,0,0,0
6,2204,179,179,PAYMENT,0,0,0
6,2213,132,132,ORDER_STATUS,0,0,0
6,2235,145,145,PAYMENT,0,0,0
6,2236,309,309,NEW_ORDER,0,0,0
6,2237,406,406,PAYMENT,0,0,0
6,2249,1360,1360,NEW_ORDER,0,0,0
6,2258,169,169,PAYMENT,0,0,0
6,2265,87,87,PAYMENT,0,0,0
6,2265,0,0,DELIVERY,0,0,0
6,2268,640,640,NEW_ORDER,0,0,0
6,2269,187,187,NEW_ORDER,0,0,0
6,2272,150,150,STOCK_LEVEL,0,0,0
6,2272,68,68,PAYMENT,0,0,0
6,2272,75,75,PAYMENT,0,0,0
6,2276,264,264,NEW_ORDER,0,0,0
6,2278,471,471,NEW_ORDER,0,0,0
6,2280,376,376,NEW_ORDER,0,0,0
6,2284,464,464,NEW_ORDER,0,0,0
6,2346,333,333,NEW_ORDER,0,0,0
6,2346,0,0,DELIVERY,0,0,0
6,2406,561,561,NEW_ORDER,0,0,0
6,2416,460,460,NEW_ORDER,0,0,0
6,2417,1533,1533,NEW_ORDER,0,0,0
6,2418,204,204,PAYMENT,0,0,0
6,2418,1169,1169,NEW_ORDER,0,0,0
6,2426,229,229,PAYMENT,0,0,0
6,2426,514,514,NEW_ORDER,0,0,0
6,2427,0,0,DELIVERY,0,0,0
6,2432,164,164,PAYMENT,0,0,0
6,2433,160,160,PAYMENT,0,0,0
6,2437,348,348,PAYMENT,0,0,0
6,2439,473,473,NEW_ORDER,0,0,0
6,2511,572,572,PAYMENT,0,0,0
6,2555,283,283,PAYMENT,0,0,0
6,2614,188,188,PAYMENT,0,0,0
6,2674,595,595,NEW_ORDER,0,0,0
6,2710,155,155,PAYMENT,0,0,0
6,2718,481,481,ORDER_STATUS,0,0,0
6,2726,578,578,PAYMENT,0,0,0
6,2764,491,491,STOCK_LEVEL,0,0,0
6,2809,730,730,PAYMENT,0,0,0
6,2810,0,0,DELIVERY,0,0,0
6,2811,394,394,PAYMENT,0,0,0
6,2811,394,394,NEW_ORDER,0,0,0
6,2812,614,614,NEW_ORDER,0,0,0
6,2840,434,434,NEW_ORDER,0,0,0
6,2858,2394,2394,DELIVERY_BG,0,0,0
6,2909,741,741,NEW_ORDER,0,0,0
6,2911,493,493,PAYMENT,0,0,0
6,2936,1498,1498,NEW_ORDER,1,0,0
6,2959,723,723,NEW_ORDER,0,0,0
6,2988,374,374,PAYMENT,0,0,0
6,2989,1056,1056,NEW_ORDER,0,0,0
6,2992,734,734,NEW_ORDER,0,0,0
6,3017,580,580,PAYMENT,0,0,0
6,3018,742,742,NEW_ORDER,0,0,0
6,3052,1060,1060,NEW_ORDER,0,0,0
6,3064,553,553,PAYMENT,0,0,0
6,3068,650,650,PAYMENT,0,0,0
6,3068,394,394,NEW_ORDER,0,0,0
6,3068,1035,1035,NEW_ORDER,0,0,0
6,3069,305,305,PAYMENT,0,0,0
6,3074,1255,1255,NEW_ORDER,0,0,0
6,3076,358,358,PAYMENT,0,0,0
6,3076,916,916,NEW_ORDER,0,0,0
6,3085,227,227,PAYMENT,0,0,0
6,3091,180,180,PAYMENT,0,0,0
